mineke_lemma_id	mineke_lemma	mineke_entry_number	mineke_image_filenames	mineke_max_page_number	meineke_source_text_version_id	meineke_source_variant	meineke_notes	meineke_text_hash	match_billerbeck_lemma_id	match_billerbeck_lemma	match_billerbeck_entry_number	match_billerbeck_id	match_similarity	match2_billerbeck_lemma_id	match2_billerbeck_lemma	match2_similarity	similarity_delta	normalized_mineke	normalized_match
135575	Αἰβοῦρα		meineke_page_056.jpg	56	8741	ocr	OCR from image meineke_page_056.jpg (id=1228)	e080609735df76fbc9915ad7ce839e64c1dbb7984da3be16f829c614f765189e	61141	Αἴβουρα	91	Α91	1.000000	61140	Αἰβοῦδαι	0.750000	0.250000	αιβουρα	αιβουρα
135576	Αἴγα	1	meineke_page_057.jpg	57	8742	ocr	OCR from image meineke_page_057.jpg (id=1229)	b9d2f7f69606813c41e46437ebde468013ac09c2c016f10f30300f7c2386ed8b	61142	Αἰγά	92	Α92	1.000000	61136	Αἶα	0.750000	0.250000	αιγα	αιγα
135582	Αἴγιαλος		meineke_page_059.jpg	59	8748	ocr	OCR from image meineke_page_059.jpg (id=1231)	89901bd6f586285a717729240e6176ca716785ba00043493468ee6b3189d5047	61149	Αἰγιαλός	100	Α100	1.000000	96969	Ἄργιλος	0.750000	0.250000	αιγιαλοσ	αιγιαλοσ
135585	Αἰγιλιά		meineke_page_060.jpg	60	8751	ocr	OCR from image meineke_page_060.jpg (id=1232)	c9f039dc7e9a3c83e0d31dc15285c5dc68c1f55e7718fb4f39bc8fd4fbdfe69a	61151	Αἰγιλιά	102	Α102	1.000000	61152	Αἰγίλιψ	0.857143	0.142857	αιγιλια	αιγιλια
135591	Αἰγόσθενᾰ	2	meineke_page_063.jpg	63	8757	ocr	OCR from image meineke_page_063.jpg (id=1235)	f47877effd5f2d7dc0900200a7785bc16d306c49bc2e3cc278b93c685429153f	61158	Αἰγόσθενα	109	Α109	1.000000	8462	Λυκοσθένη	0.555556	0.444444	αιγοσθενα	αιγοσθενα
135598	Αιδούσιοι		meineke_page_065.jpg	65	8764	ocr	OCR from image meineke_page_065.jpg (id=1237)	fda7c8ca65ea6918dbfbaacba319bfd01d6aacebf7774453db153d0805d84831	61166	Αἰδούσιοι	117	Α117	1.000000	2061	Καδούσιοι	0.777778	0.222222	αιδουσιοι	αιδουσιοι
135601	Αἴθαλη		meineke_page_065.jpg	65	8767	ocr	OCR from image meineke_page_065.jpg (id=1237)	a0dabbe77c4d5696226f601d17cfecb33025a25758a15e83c638eb98b0d36045	61169	Αἰθάλη	120	Α120	1.000000	22212	Ἰθάκη	0.666667	0.333333	αιθαλη	αιθαλη
135603	Αἴθηρ		meineke_page_065.jpg	65	8769	ocr	OCR from image meineke_page_065.jpg (id=1237)	bafcb26a771854df0688c83f74b64c16437c12139e5204940e55f95ea1700331	61171	Αἰθήρ	122	Α122	1.000000	80241	Ἀλίφηρα	0.571429	0.428571	αιθηρ	αιθηρ
135606	Αἰϑόπιον	3	meineke_page_066.jpg	66	8772	ocr	OCR from image meineke_page_066.jpg (id=1238)	13e90bc9c4f99a00041c5e57360c594dfe7fa2c016e2873b4b0287059efa5c6f	61174	Αἰθόπιον	125	Α125	1.000000	17043	Ἐλλόπιον	0.625000	0.375000	αιθοπιον	αιθοπιον
135612	Αἰμονία	1	meineke_page_068.jpg	68	19068	ocr	OCR from image meineke_page_074.jpg (id=1246)	cde6e3ee616c6aad78361bd010bc4ff69ba8f4829fbe1f0df160d4f7f850649e	61179	Αἱμονία	130	Α130	1.000000	61211	Ἀκμονία	0.857143	0.142857	αιμονια	αιμονια
135613	Αἶμος		meineke_page_069.jpg	69	19069	ocr	OCR from image meineke_page_075.jpg (id=1247)	2997ea87717c92dc5721d27203b4b05180ee482d5aa2eeb88d85c69bba7342a4	61180	Αἷμος	131	Α131	1.000000	61184	Αἶνος	0.800000	0.200000	αιμοσ	αιμοσ
135615	Αἰνήθος		meineke_page_070.jpg	70	8781	ocr	OCR from image meineke_page_070.jpg (id=1242)	078fb2b769518ee75758fed50ac1c3692aa0eeea2306b1405b34186f637c90bd	61182	Αἴνηθος	133	Α133	1.000000	37851	Σίνθος	0.714286	0.285714	αινηθοσ	αινηθοσ
135617	Αἰξωνεία		meineke_page_071.jpg	71	8783	ocr	OCR from image meineke_page_071.jpg (id=1243)	3c5fffd1d96c6aa0f4159cdd70a544bb87c2296104164e2f36964c3942855076	61185	Αἰξώνεια	136	Α136	1.000000	125146	Χαιρώνεια	0.777778	0.222222	αιξωνεια	αιξωνεια
135618	Αἰόλειον	1	meineke_page_072.jpg	72	19073	ocr	OCR from image meineke_page_078.jpg (id=1250)	4aa70898f224dc3d5ea3898bb9aa8933d07e155a0b9bbb2b28068e65442aff14	61186	Αἰόλειον	137	Α137	1.000000	135422	Φιλομήλειον	0.636364	0.363636	αιολειον	αιολειον
135620	Αἰπεία	3	meineke_page_072.jpg	72	8786	ocr	OCR from image meineke_page_072.jpg (id=1244)	67877b84d60b14e09d379d4a843e8ef101c13bf7daa64ede75427cae4abd9656	61188	Αἴπεια	139	Α139	1.000000	61181	Αἴνεια	0.833333	0.166667	αιπεια	αιπεια
135623	Αἴλανον	3	meineke_page_073.jpg	73	8789	ocr	OCR from image meineke_page_073.jpg (id=1245)	be9cfc352b4f9741d0a4cd7f733c009afc455810de092057e745c52ab16efc73	61177	Ἀίλανον	128	Α128	1.000000	61113	Ἀδρανόν	0.714286	0.285714	αιλανον	αιλανον
135624	Αἴλια	4	meineke_page_073.jpg	73	8790	ocr	OCR from image meineke_page_073.jpg (id=1245)	7dbb5238a2d8a9964a8d21169c508dd46d72249fecd1f5882cd64b848137b470	61178	Αἰλία	129	Α129	1.000000	61187	Αἰολία	0.833333	0.166667	αιλια	αιλια
